代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率
000920,沃顿科技,12.56,9.98,1.14,16.50万,2.04亿,5.69,12.56,11.91,11.99,11.42,3.15,3.91,33.39,3.25
603936,博敏电子,10.69,9.98,0.97,45.02万,4.77亿,3.29,10.69,10.37,10.37,9.72,0.82,7.14,61.65,1.57
001296,长江材料,20.94,9.98,1.9,9.59万,1.96亿,10.29,20.94,18.98,19.04,19.04,4.46,12.48,23.58,1.85
603327,福蓉科技,10.04,9.97,0.91,27.51万,2.73亿,9.97,10.04,9.13,9.22,9.13,8.78,2.76,121.41,5.17
000655,金岭矿业,8.07,9.95,0.73,15.99万,1.28亿,4.77,8.07,7.72,7.95,7.34,4.08,2.69,24.46,1.41
300274,阳光电源,73.94,9.7,6.54,57.41万,40.67亿,9.85,74.0,67.36,67.5,67.4,3.76,3.61,10.02,3.97
002342,巨力索具,7.55,9.58,0.66,205.38万,14.81亿,10.6,7.56,6.83,7.03,6.89,2.56,21.51,302.7,2.98
300285,国瓷材料,18.6,9.41,1.6,45.92万,8.30亿,9.88,18.68,17.0,17.02,17.0,10.36,5.71,34.15,2.77
301165,锐捷网络,61.4,9.35,5.25,10.01万,6.00亿,10.93,62.32,56.18,56.49,56.15,3.34,10.48,113.82,11.23
300465,高伟达,17.91,9.27,1.52,94.06万,17.03亿,13.42,18.88,16.68,16.68,16.39,7.48,21.2,-188.53,12.43
600438,通威股份,19.88,9.23,1.68,108.32万,20.65亿,9.78,19.96,18.18,18.35,18.2,1.9,2.41,-8.63,2.02
300586,美联新材,12.04,9.16,1.01,50.42万,5.87亿,12.15,12.19,10.85,10.98,11.03,3.11,9.43,227.71,4.45
002865,钧达股份,42.32,9.04,3.51,11.94万,4.81亿,9.77,42.49,38.7,38.79,38.81,2.65,5.31,-29.23,3.27
688018,乐鑫科技,148.98,8.97,12.26,7.22万,10.56亿,5.05,149.8,142.89,146.0,136.72,6.89,4.61,62.29,10.7
301191,菲菱科思,87.8,8.92,7.19,5.21万,4.51亿,9.79,89.79,81.9,81.9,80.61,6.74,11.51,142.02,3.67
603127,昭衍新药,24.87,8.79,2.01,37.65万,9.08亿,11.11,25.08,22.54,22.6,22.86,2.51,5.97,113.33,2.3
603228,景旺电子,49.98,8.77,4.03,38.40万,18.87亿,10.99,50.55,45.5,46.03,45.95,1.94,4.16,36.07,4.31
300533,冰川网络,38.77,8.75,3.12,35.99万,13.60亿,15.93,40.88,35.2,36.12,35.65,2.73,21.81,12.04,6.24
300827,上能电气,24.8,8.58,1.96,27.71万,6.55亿,10.33,24.96,22.6,22.75,22.84,3.05,7.23,35.53,5.64
688663,新风光,29.66,8.53,2.33,7.35万,2.14亿,9.29,29.87,27.33,27.39,27.33,7.45,5.23,37.12,3.17
002225,濮耐股份,5.82,8.18,0.44,66.78万,3.90亿,4.28,5.92,5.69,5.69,5.38,6.31,8.09,26.79,1.74
002201,九鼎新材,8.93,8.11,0.67,126.87万,11.04亿,12.83,9.09,8.03,8.26,8.26,9.86,21.14,88.51,5.27
600095,湘财股份,11.34,8.0,0.84,155.89万,17.15亿,9.81,11.43,10.4,10.49,10.5,2.55,5.45,164.86,2.73
688025,杰普特,85.92,7.95,6.33,3.09万,2.57亿,9.29,86.4,79.01,79.67,79.59,2.68,3.25,56.64,4.02
300127,银河磁体,30.69,7.91,2.25,33.66万,10.32亿,14.24,32.33,28.28,28.45,28.44,4.75,14.58,62.88,7.21
688291,金橙子,40.48,7.86,2.95,8.35万,3.28亿,17.8,41.99,35.31,35.8,37.53,3.1,24.81,86.81,4.47
688726,拉普拉斯,47.87,7.74,3.44,4.02万,1.85亿,8.76,47.98,44.09,44.09,44.43,3.49,11.08,19.24,5.32
301555,惠柏新材,29.76,7.67,2.12,9.65万,2.90亿,15.41,31.68,27.42,27.64,27.64,5.19,19.96,77.84,2.56
603429,集友股份,9.97,7.67,0.71,13.26万,1.30亿,9.18,10.1,9.25,9.3,9.26,5.75,2.53,1073.63,4.21
002612,朗姿股份,18.41,7.66,1.31,32.38万,6.03亿,4.09,18.81,18.11,18.38,17.1,7.89,12.71,21.38,3.01
300554,三超新材,26.89,7.65,1.91,15.09万,4.12亿,15.45,29.1,25.24,25.24,24.98,1.84,19.06,-122.73,4.71
688630,芯碁微装,89.31,7.64,6.34,4.17万,3.66亿,8.34,90.48,83.56,84.5,82.97,1.94,3.16,56.71,5.7
300763,锦浪科技,61.25,7.49,4.27,11.04万,6.53亿,9.25,61.97,56.7,56.91,56.98,2.63,3.43,31.41,2.9
688221,前沿生物-U,14.9,7.43,1.03,33.62万,4.91亿,13.34,15.25,13.4,13.8,13.87,2.85,8.98,-31.62,5.09
